Tipo de usuario,Fuente/medio,Código ISO del país,Categoría de dispositivo,Usuarios,Sesiones,Número de páginas vistas,Transacciones,Ingresos
New Visitor,(direct) / (none),RU,tablet,399,398,1583,1,2480.62
New Visitor,trivago.co.uk / referral,GB,mobile,399,399,578,0,0
New Visitor,m.facebook.com / referral,CA,mobile,398,398,996,0,0
Returning Visitor,(direct) / (none),MX,desktop,398,848,3520,1,87936
Returning Visitor,inside.iberostar / (not set),US,desktop,398,533,2622,0,0
Returning Visitor,bing / organic,US,mobile,391,687,3995,3,5625.4
Returning Visitor,google / organic,IT,mobile,391,771,6315,0,0
Returning Visitor,(direct) / (none),MX,tablet,390,793,1252,2,52575
New Visitor,(direct) / (none),CO,desktop,387,390,1240,1,2226
New Visitor,dfa / cpm,ES,tablet,387,387,682,0,0
Returning Visitor,google / organic,AT,mobile,385,645,4316,0,0
New Visitor,tripadvisor / cpc,ES,desktop,384,384,579,0,0
Returning Visitor,olehotels.com / referral,ES,desktop,379,540,1133,5,3653.06
New Visitor,google / organic,IN,desktop,378,379,696,0,0
